,index,GameID,Final_Away_Score,Final_Home_Score,Home,Away,GameDate,Season,Carolina Hurricanes,Opponent,GoalDiff,Probability,OpposingTeam,Opponent2
0,80,2018020008,2,1,Carolina Hurricanes,New York Islanders,2018-10-04,2018-2019,1.0,1.0,0.0,0.5030100000000001,New York Islanders,"Oct 04 
 New York Islanders"
1,81,2018020015,3,1,Columbus Blue Jackets,Carolina Hurricanes,2018-10-05,2018-2019,3.0,1.0,2.0,0.53354,Columbus Blue Jackets,"Oct 05 
 Columbus Blue Jackets"
2,82,2018020029,5,8,Carolina Hurricanes,New York Rangers,2018-10-07,2018-2019,7.0,5.0,2.0,0.56934,New York Rangers,"Oct 07 
 New York Rangers"
3,83,2018020037,3,5,Carolina Hurricanes,Vancouver Canucks,2018-10-09,2018-2019,5.0,3.0,2.0,0.60035,Vancouver Canucks,"Oct 09 
 Vancouver Canucks"
4,84,2018020060,5,4,Minnesota Wild,Carolina Hurricanes,2018-10-13,2018-2019,4.0,4.0,0.0,0.60159,Minnesota Wild,"Oct 13 
 Minnesota Wild"
5,85,2018020073,1,3,Winnipeg Jets,Carolina Hurricanes,2018-10-14,2018-2019,1.0,2.0,-1.0,0.58913,Winnipeg Jets,"Oct 14 
 Winnipeg Jets"
6,86,2018020082,2,4,Tampa Bay Lightning,Carolina Hurricanes,2018-10-16,2018-2019,2.0,3.0,-1.0,0.58098,Tampa Bay Lightning,"Oct 16 
 Tampa Bay Lightning"
7,87,2018020103,3,1,Carolina Hurricanes,Colorado Avalanche,2018-10-20,2018-2019,1.0,3.0,-2.0,0.5525899999999999,Colorado Avalanche,"Oct 20 
 Colorado Avalanche"
8,88,2018020119,3,1,Detroit Red Wings,Carolina Hurricanes,2018-10-22,2018-2019,2.0,1.0,1.0,0.56777,Detroit Red Wings,"Oct 22 
 Detroit Red Wings"
9,89,2018020146,3,4,Carolina Hurricanes,San Jose Sharks,2018-10-26,2018-2019,3.0,3.0,0.0,0.5742,San Jose Sharks,"Oct 26 
 San Jose Sharks"
10,90,2018020161,2,1,Carolina Hurricanes,New York Islanders,2018-10-28,2018-2019,1.0,2.0,-1.0,0.56199,New York Islanders,"Oct 28 
 New York Islanders"
11,91,2018020169,3,2,Carolina Hurricanes,Boston Bruins,2018-10-30,2018-2019,2.0,3.0,-1.0,0.54905,Boston Bruins,"Oct 30 
 Boston Bruins"
12,92,2018020194,3,4,Arizona Coyotes,Carolina Hurricanes,2018-11-02,2018-2019,3.0,3.0,0.0,0.55437,Arizona Coyotes,"Nov 02 
 Arizona Coyotes"
